customer_id,name,email,country,signup_date
1001,Norma Fisher,ysullivan@yahoo.com,Lesotho,2023-12-20
1002,Susan Wagner,katelynmontgomery@yahoo.com,United States of America,2024-09-16
1003,Dr. Stephanie Collins,thomas15@stewart-bowman.com,Mexico,2024-06-22
1004,Joseph Brown,cortezraymond@garrett.com,Ecuador,2023-10-30
1005,Amy Stark,lindathomas@west.net,Venezuela,2024-07-11
1006,Juan Mann,tamaramorrison@hotmail.com,France,2024-05-03
1007,Robert Stewart,ivan20@zavala.com,Turkey,2023-01-30
1008,Sarah Villanueva,aimee33@hotmail.com,Myanmar,2024-03-24
1009,Joanne Keller,nguyendarrell@hotmail.com,Niue,2023-11-14
1010,Dana Dennis,nathanjackson@cabrera-garcia.com,Timor-Leste,2025-05-30
1011,Robert Walters,martinezjacob@wilson.com,Argentina,2025-01-07
1012,Tyler Lopez,zclark@giles.net,Jamaica,2025-01-31
1013,David Walker,ryan08@yahoo.com,Armenia,2024-12-24
1014,William Gonzalez,kmassey@gmail.com,Qatar,2025-04-21
1015,Randall Kramer,matthewking@morse.biz,United Arab Emirates,2024-11-12
1016,Sylvia Banks,eric07@hotmail.com,Belgium,2023-11-15
1017,Kimberly Taylor,chelsea59@hotmail.com,Timor-Leste,2025-01-31
1018,Eric Goodman,wheelerholly@allen.info,Honduras,2025-04-23
1019,Jennifer Morales,martincaleb@hotmail.com,Cayman Islands,2024-05-05
1020,Katelyn Hoffman,simpsonlarry@williams-carson.biz,Comoros,2024-10-11
1021,Miss Angela Swanson DVM,nstewart@gmail.com,Saint Barthelemy,2022-06-15
1022,Miss Lisa Lee,joshua21@nash-sanders.com,Angola,2023-08-12
1023,Rebecca Wilson,desireeroth@hotmail.com,Guatemala,2022-12-07
1024,Diana Smith,eringrant@mays-browning.com,Tanzania,2025-06-05
1025,Kathleen Schneider,iwatson@gmail.com,Cote d'Ivoire,2024-01-16
1026,Alexa Hernandez,kristine15@hotmail.com,Argentina,2022-08-15
1027,Chase Silva,ihays@yahoo.com,Brazil,2024-06-23
1028,Taylor Parker,richard54@rodriguez-hoffman.info,Lebanon,2023-11-17
1029,Vanessa Cooper,lyonsronald@yahoo.com,Grenada,2025-05-14
1030,Tamara Sims,joneschristopher@hotmail.com,Cyprus,2022-09-15
1031,Brent Hawkins,ymora@hotmail.com,Rwanda,2025-05-02
1032,Bradley Robinson,ryanhoward@gmail.com,Swaziland,2025-06-06
1033,Joseph Goodwin,crawfordjonathan@williams.com,Bosnia and Herzegovina,2023-04-15
